VRG,PUR,VID,TEX,RAN
60464.9032,164648.2346,38589.7226,37753.5086,103091.1654
58272.5227,164500.1385,38653.1078,44534.5936,99850.6895
61457.0842,165300.4705,38585.7319,46702.6957,99954.7716
59780.8929,165308.3467,38637.7367,41902.1811,97840.7594
59905.0035,164488.3093,38597.7337,40154.0392,98266.5392
60612.9183,165712.439,38625.5736,42466.1408,101234.7238
61325.0568,164512.3147,38589.7254,49059.1916,100890.8379
59948.7036,165660.1489,38709.6248,55776.0738,101006.643
60040.4507,165075.7945,38589.8484,54295.834,99062.3807
60760.8023,165848.0527,38601.6149,45786.6975,98826.2855
59276.5865,164715.8122,38585.591,44658.5777,101286.5104
57512.4384,162955.3558,38601.5309,58408.4781,100034.2872
57616.5323,164003.7963,38577.4574,60876.9681,100238.4182
61576.917,164068.3268,38669.8644,41274.1502,100606.8339
